EAD,Previous EAD,change_EAD,percentage_change_EAD
3157.604780934659,3284.150569935424,-126.54578900076467,-3.8532273812053917
12920.96730920447,13438.794623334763,-517.8273141302925,-3.8532273812053877
25335.230018047972,26350.577692813255,-1015.3476747652821,-3.8532273812053983
7600.5690054143915,7905.173307843976,-304.6043024295841,-3.853227381205392
2533.523001804798,2635.057769281326,-101.53476747652803,-3.8532273812053917
4560.341403248634,4743.103984706385,-182.76258145775046,-3.853227381205392
12899.778932023837,13416.757089880946,-516.9781578571092,-3.8532273812053983
11495.983161275426,11956.702079699564,-460.7189184241379,-3.8532273812053894
14234.751951811024,14805.231173228625,-570.4792214176014,-3.8532273812053894
1708.170234217323,1776.6277407874352,-68.45750657011217,-3.8532273812053903
9205.13959550446,9574.049492021177,-368.9098965167159,-3.853227381205394
13992.097078821185,14552.851539070833,-560.7544602496473,-3.8532273812053894
19545.210606978344,20328.51449363957,-783.303886661226,-3.8532273812053894
465.2806406789429,483.92746631621276,-18.646825637269842,-3.8532273812053983
18611.225627157717,19357.09865264851,-745.8730254907932,-3.8532273812053965
9119.500557307281,9484.97833979777,-365.4777824904886,-3.8532273812053957
2000.7067549194549,2080.888105159715,-80.18135024026014,-3.8532273812053894
4317.72666191361,4490.766090540192,-173.03942862658187,-3.853227381205398
5068.635646594238,5271.768888895008,-203.13324230076978,-3.853227381205394
14079.543462761772,14643.802469152799,-564.2590063910266,-3.8532273812053894
9386.362308507849,9762.5349794352,-376.17267092735165,-3.853227381205395
3754.5449234031394,3905.01399177408,-150.46906837094048,-3.8532273812053908
4693.181154253924,4881.2674897176,-188.08633546367582,-3.853227381205395
9386.362308507849,9762.5349794352,-376.17267092735165,-3.853227381205395
7509.089846806279,7810.02798354816,-300.93813674188095,-3.8532273812053908
3362.2719661690962,3497.020102276262,-134.74813610716592,-3.853227381205397
11207.573220563656,11656.733674254208,-449.16045369055246,-3.8532273812053917
6730.274083315622,7000.0,-269.7259166843778,-3.853227381205397
7691.741809503568,8000.0,-308.2581904964318,-3.853227381205397
14422.01589281919,15000.0,-577.9841071808096,-3.853227381205397
1922.935452375892,2000.0,-77.06454762410795,-3.853227381205397
2932.4765648732355,3050.0,-117.52343512676453,-3.8532273812053943
7500.0,7500.0,0.0,0.0
3284.150569935424,3380.861906990983,-96.71133705555894,-2.860552714548269
13438.794623334763,13834.538901424703,-395.74427808994005,-2.8605527145482648
26350.577692813255,27126.54686553863,-775.9691727253739,-2.86055271454827
7905.173307843976,8137.964059661588,-232.79075181761254,-2.860552714548275
2635.057769281326,2712.654686553863,-77.59691727253721,-2.860552714548263
4743.103984706385,4882.778435796952,-139.67445109056735,-2.8605527145482714
13416.757089880946,13811.852408892933,-395.09531901198716,-2.860552714548268
11956.702079699564,12308.801845005228,-352.0997653056638,-2.860552714548264
14805.231173228625,15241.214137982808,-435.98296475418283,-2.860552714548276
1776.6277407874352,1828.945696557937,-52.31795577050184,-2.8605527145482705
9574.049492021177,9855.985142562215,-281.93565054103783,-2.8605527145482723
14552.851539070833,14981.40245363571,-428.55091456487753,-2.860552714548271
20328.51449363957,20927.146552422382,-598.6320587828122,-2.8605527145482657
483.92746631621276,498.17811387597743,-14.250647559764673,-2.860552714548276
19357.09865264851,19927.124555039096,-570.0259023905855,-2.860552714548269
9484.97833979777,9764.291031969156,-279.3126921713865,-2.860552714548265
2080.888105159715,2142.165889666703,-61.277784506988155,-2.8605527145482785
4490.766090540192,4623.009720596547,-132.24363005635496,-2.860552714548271
5271.768888895008,5427.011411135077,-155.24252224006887,-2.860552714548271
14643.802469152799,15075.031697597435,-431.22922844463574,-2.860552714548271
9762.5349794352,10050.021131731624,-287.4861522964238,-2.860552714548271
3905.01399177408,4020.0084526926494,-114.99446091856953,-2.860552714548271
4881.2674897176,5025.010565865812,-143.7430761482119,-2.860552714548271
9762.5349794352,10050.021131731624,-287.4861522964238,-2.860552714548271
7810.02798354816,8040.016905385299,-229.98892183713906,-2.860552714548271
